experience_level,employment_type,remote_ratio,company_size,job_title_freq,employee_residence_top,company_location_top,inflation_adj_salary
Mid/ Intermediate level,Full-time,Remote,Large,ML Engineer,Other,Other,56576.28801881762
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,310430.57219999994
Entry level,Full-time,On-site,Medium,Data Engineer,United States,United States,123293.85389999999
Senior,Full-time,On-site,Medium,AI/ DS Executive,United States,United States,199215.44546399996
Mid/ Intermediate level,Full-time,On-site,Medium,Data Engineer,United States,United States,128542.67999999998
Senior,Full-time,On-site,Medium,Data Analyst,United States,United States,173532.618
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,242945.6652
Mid/ Intermediate level,Full-time,Remote,Medium,Data Scientist,United States,United States,133458.1520832
Senior,Full-time,On-site,Medium,Data Engineer,United Kingdom,United Kingdom,151999.520952
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,247980.25349999996
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,199134.03509999998
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,259089.55461899997
Entry level,Full-time,Hybrid,Large,AI Engineer,Canada,Canada,234620.59879999998
Senior,Full-time,Remote,Medium,Data Scientist,United States,United States,141396.94799999997
Senior,Full-time,Remote,Medium,ML Engineer,United States,United States,172144.35705599998
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,182102.12999999998
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,173359.08538199996
Mid/ Intermediate level,Full-time,Remote,Medium,Data Scientist,United States,United States,88822.99187999997
Senior,Full-time,Remote,Medium,Data Engineer,Canada,Canada,161184.35137559997
Mid/ Intermediate level,Full-time,Remote,Large,Data Scientist,Other,Other,39426.818525345996
Entry level,Full-time,Remote,Small,Data Engineer,Other,Other,144279.46000000002
Entry level,Full-time,On-site,Medium,Data Analyst,United States,United States,74983.23
Mid/ Intermediate level,Full-time,Hybrid,Large,Data Scientist,United Kingdom,Canada,65853.696795172
Entry level,Full-time,On-site,Medium,AI Engineer,United States,United States,128542.67999999998
Senior,Full-time,On-site,Medium,Data Analyst,United States,United States,107118.89999999998
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,143792.12660399996
Senior,Full-time,Remote,Small,Data Engineer,United Kingdom,United Kingdom,125252.91053117639
Mid/ Intermediate level,Full-time,Remote,Medium,Data Engineer,United Kingdom,United Kingdom,79446.05406266199
Mid/ Intermediate level,Full-time,On-site,Medium,Data Engineer,United Kingdom,United Kingdom,141614.729358
Senior,Full-time,Remote,Medium,Data Analyst,United States,United States,68556.09599999999
Entry level,Full-time,Remote,Large,ML Engineer,Other,Other,14077.235928
Senior,Full-time,Remote,Medium,Data Analyst,United States,United States,92621.428074
Senior,Full-time,On-site,Medium,AI/ DS Executive,United States,United States,181030.941
Mid/ Intermediate level,Full-time,Remote,Medium,ML Engineer,Other,United States,86766.309
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,267529.45275
Mid/ Intermediate level,Full-time,Remote,Small,Data Analyst,Canada,Canada,87982.72455
Mid/ Intermediate level,Full-time,Remote,Small,Data Engineer,Germany,Germany,73371.49037361119
Mid/ Intermediate level,Full-time,On-site,Medium,Data Analyst,Canada,Canada,87982.72455
Senior,Full-time,On-site,Medium,Data Scientist,United States,United States,138504.73769999997
Senior,Full-time,On-site,Medium,ML Engineer,United States,United States,137412.12491999997
Entry level,Full-time,Hybrid,Large,AI/ ML Researcher,Germany,Germany,77650.03337884799
Mid/ Intermediate level,Full-time,On-site,Medium,Data Engineer,United States,United States,214237.79999999996
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,163356.32249999998
Mid/ Intermediate level,Full-time,Remote,Medium,Data Engineer,Other,Other,34015.951351700634
Senior,Full-time,On-site,Medium,Data Analyst,United States,United States,149238.05148
Senior,Full-time,Remote,Medium,Data Engineer,United States,United States,254641.76365319997
Senior,Full-time,On-site,Medium,Data Engineer,United States,United States,179317.03859999997
